customer_id,customer_type,customer_name,date_of_birth,email,phone,address_line,city,state,country,postal_code,customer_segment,risk_tier,customer_status,created_date
CUST_DEMO_001,INDIVIDUAL,Synthetic Customer 000001,1966-02-02,customer000001@example.invalid,+1-555-0001,101 Fictional Avenue,Example City,EX,US,SYN0001,SME,MEDIUM,ACTIVE,2024-11-15
CUST_SYN_000002,INDIVIDUAL,Synthetic Customer 000002,1967-03-03,customer000002@example.invalid,+1-555-0002,102 Fictional Avenue,Demo Borough,DM,GB,SYN0002,CORPORATE,HIGH,ACTIVE,2024-11-14
CUST_SYN_000003,INDIVIDUAL,Synthetic Customer 000003,1968-04-04,customer000003@example.invalid,+1-555-0003,103 Fictional Avenue,Sample Ville,SV,DE,SYN0003,RETAIL,LOW,ACTIVE,2024-11-13
CUST_SYN_000004,BUSINESS,Synthetic Customer 000004,,customer000004@example.invalid,+1-555-0004,104 Fictional Avenue,Test Harbour,TH,SG,SYN0004,SME,MEDIUM,ACTIVE,2024-11-12
CUST_SYN_000005,INDIVIDUAL,Synthetic Customer 000005,1970-06-06,customer000005@example.invalid,+1-555-0005,105 Fictional Avenue,Example City,EX,US,SYN0005,CORPORATE,HIGH,ACTIVE,2024-11-11
CUST_SYN_000006,INDIVIDUAL,Synthetic Customer 000006,1971-07-07,customer000006@example.invalid,+1-555-0006,106 Fictional Avenue,Demo Borough,DM,GB,SYN0006,RETAIL,LOW,ACTIVE,2024-11-10
CUST_SYN_000007,INDIVIDUAL,Synthetic Customer 000007,1972-08-08,customer000007@example.invalid,+1-555-0007,107 Fictional Avenue,Sample Ville,SV,DE,SYN0007,SME,MEDIUM,ACTIVE,2024-11-09
CUST_SYN_000008,BUSINESS,Synthetic Customer 000008,,customer000008@example.invalid,+1-555-0008,108 Fictional Avenue,Test Harbour,TH,SG,SYN0008,CORPORATE,HIGH,ACTIVE,2024-11-08
CUST_SYN_000009,INDIVIDUAL,Synthetic Customer 000009,1974-10-10,customer000009@example.invalid,+1-555-0009,109 Fictional Avenue,Example City,EX,US,SYN0009,RETAIL,LOW,ACTIVE,2024-11-07
CUST_SYN_000010,INDIVIDUAL,Synthetic Customer 000010,1975-11-11,customer000010@example.invalid,+1-555-0010,110 Fictional Avenue,Demo Borough,DM,GB,SYN0010,SME,MEDIUM,ACTIVE,2024-11-06
